t,start_state,end_state,count
1,9,9,2392
1,9,10,1786
1,9,11,290
1,9,12,12
1,10,0,0
1,10,1,36
1,10,2,636
1,10,3,3901
1,10,4,4025
1,10,5,1093
1,10,6,86
1,10,7,0
1,10,8,65
1,10,9,918
1,10,10,2701
1,10,11,1593
1,10,12,180
1,11,0,0
1,11,1,1
1,11,2,56
1,11,3,847
1,11,4,4046
1,11,5,4254
1,11,6,855
1,11,7,0
1,11,8,7
1,11,9,116
1,11,10,1207
1,11,11,2957
1,11,12,1137
1,12,0,0
1,12,1,0
1,12,2,4
1,12,3,93
1,12,4,1068
1,12,5,4630
1,12,6,4769
1,12,7,0
1,12,8,0
1,12,9,10
1,12,10,210
1,12,11,1600
1,12,12,2992
